node_id,rho,neighbourhood_size,subgraph_edges,active_features,degenerate_features,output_bandwidth,output_centered_norm,lipschitz_constant,step_size,converged,iterations,initial_objective,final_objective,objective_reduction,relative_change,num_nonzero,has_full_top_k,max_beta,min_beta,num_top_features,top_10_features,top_10_betas
2499,0.01,7,16,71,1362,0.08248905092477798,1.8729840517044067,15.451394081115723,0.06471908092498779,False,10000,0.4999999403953552,0.12234033644199371,0.3776596039533615,1.2477637589825008e-08,54,True,0.14171278476715088,0.0,10,211;777;1426;89;110;289;373;431;442;726,0.1417127848;0.1417127848;0.1417127848;0.0527700223;0.0527700223;0.0527700223;0.0527700223;0.0527700223;0.0527700223;0.0527700223
2499,0.03,7,16,71,1362,0.08248905092477798,1.8729840517044067,15.451394081115723,0.06471908092498779,True,188,0.4999999403953552,0.1487908810377121,0.3512090593576431,7.926507450406461e-09,54,True,0.14176717400550842,0.0,10,211;777;1426;89;110;289;373;431;442;726,0.1417671740;0.1417671740;0.1417671740;0.0511962026;0.0511962026;0.0511962026;0.0511962026;0.0511962026;0.0511962026;0.0511962026
2499,0.1,7,16,71,1362,0.08248905092477798,1.8729840517044067,15.451394081115723,0.06471908092498779,True,85,0.4999999403953552,0.22521629929542542,0.2747836410999298,0.0,24,True,0.13187871873378754,0.0,10,211;777;1426;89;110;289;373;431;442;726,0.1318787187;0.1318787187;0.1318787187;0.0463735797;0.0463735797;0.0463735797;0.0463735797;0.0463735797;0.0463735797;0.0463735797
2499,0.3,7,16,71,1362,0.08248905092477798,1.8729840517044067,15.451394081115723,0.06471908092498779,True,78,0.4999999403953552,0.37709736824035645,0.12290257215499878,0.0,14,True,0.08206865191459656,0.0,10,211;777;1426;89;110;289;373;431;442;726,0.0820686519;0.0820686519;0.0820686519;0.0326177366;0.0326177366;0.0326177366;0.0326177366;0.0326177366;0.0326177366;0.0326177366
2075,0.001,18,66,182,1251,0.19186140596866608,3.7631969451904297,14.40362548828125,0.06942696124315262,True,425,0.5,0.22713150084018707,0.2728684991598129,9.943462941919279e-09,84,True,0.23634518682956696,0.0,10,1355;1381;808;866;1071;1352;924;240;627;1081,0.2363451868;0.1869887263;0.1826334894;0.1198602766;0.1159673706;0.0965239704;0.0672569871;0.0633749962;0.0518929139;0.0455744714
2075,0.003,18,66,182,1251,0.19186140596866608,3.7631969451904297,14.40362548828125,0.06942696124315262,True,423,0.5,0.23128008842468262,0.2687199115753174,9.463311023694132e-09,84,True,0.2363535314798355,0.0,10,1355;1381;808;866;1071;1352;924;240;627;1081,0.2363535315;0.1864187419;0.1811997592;0.1192712709;0.1150273606;0.0957443342;0.0662449747;0.0621895120;0.0512620397;0.0449048728
2075,0.01,18,66,182,1251,0.19186140596866608,3.7631969451904297,14.40362548828125,0.06942696124315262,True,419,0.5,0.2454318255186081,0.2545681744813919,9.678587709061048e-09,63,True,0.23617997765541077,0.0,10,1355;1381;808;866;1071;1352;924;240;627;1081,0.2361799777;0.1833655387;0.1757919341;0.1162624955;0.1115437001;0.0921603367;0.0626370162;0.0570103377;0.0488997735;0.0425851159
2075,0.03,18,66,182,1251,0.19186140596866608,3.7631969451904297,14.40362548828125,0.06942696124315262,True,408,0.5,0.2829074561595917,0.21709254384040833,9.867186179235432e-09,52,True,0.23542729020118713,0.0,10,1355;1381;808;866;1071;1352;924;240;627;1081,0.2354272902;0.1726842225;0.1599761099;0.1061161458;0.1014128625;0.0810076296;0.0523063503;0.0401992947;0.0388881043;0.0359612107
2075,0.1,18,66,182,1251,0.19186140596866608,3.7631969451904297,14.40362548828125,0.06942696124315262,True,404,0.5,0.3821480870246887,0.11785191297531128,7.736145946068973e-09,43,True,0.22943595051765442,0.0,10,1355;1381;808;866;1071;1352;1360;407;824;1266,0.2294359505;0.1332999468;0.1022889540;0.0713876113;0.0577181876;0.0412537456;0.0384985842;0.0191684477;0.0191684477;0.0191684477
2075,0.3,18,66,182,1251,0.19186140596866608,3.7631969451904297,14.40362548828125,0.06942696124315262,True,256,0.5,0.48525169491767883,0.014748305082321167,0.0,12,True,0.14187856018543243,0.0,10,1355;82;168;211;254;653;763;929;1117;1290,0.1418785602;0.0045241360;0.0045241360;0.0045241360;0.0045241360;0.0045241360;0.0045241360;0.0045241360;0.0045241360;0.0045241360
1971,0.001,26,88,263,1170,0.22797784209251404,6.647634506225586,16.174013137817383,0.06182757392525673,True,467,0.5000001192092896,0.36202487349510193,0.13797524571418762,9.568744907539894e-09,132,True,0.23273007571697235,0.0,10,661;336;135;261;523;1259;1353;1079;1220;971,0.2327300757;0.1520118117;0.1037073135;0.0788518265;0.0742747486;0.0695063695;0.0578098148;0.0415747985;0.0400062948;0.0366473161
1971,0.003,26,88,263,1170,0.22797784209251404,6.647634506225586,16.174013137817383,0.06182757392525673,True,466,0.5000001192092896,0.36547937989234924,0.1345207393169403,9.723293281638234e-09,132,True,0.23375476896762848,0.0,10,661;336;135;261;523;1259;1353;1079;1220;971,0.2337547690;0.1505925208;0.1030130833;0.0779585764;0.0733361244;0.0680129603;0.0572726987;0.0393324308;0.0391126648;0.0358053185
1971,0.01,26,88,263,1170,0.22797784209251404,6.647634506225586,16.174013137817383,0.06182757392525673,True,465,0.5000001192092896,0.37691816687583923,0.12308195233345032,9.610436002560618e-09,133,True,0.2372778356075287,0.0,10,661;336;135;261;523;1259;1353;1220;971;1079,0.2372778356;0.1455174983;0.1005949378;0.0747319534;0.0699000210;0.0628519505;0.0554118082;0.0360285155;0.0328892805;0.0314603411
1971,0.03,26,88,263,1170,0.22797784209251404,6.647634506225586,16.174013137817383,0.06182757392525673,True,465,0.5000001192092896,0.404409795999527,0.09559032320976257,9.883653895315092e-09,94,True,0.23968656361103058,0.0,10,661;336;135;261;523;1353;1259;1220;19;971,0.2396865636;0.1309101582;0.0929858834;0.0649030134;0.0613377728;0.0497428142;0.0488169231;0.0257764328;0.0253043901;0.0229687318
